iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC,n_labeled_users
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,numeric,11,True,0.66,0.682690537084399,0.66,0.6673143405889884,0.7691447181171318,100
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,numeric,11,False,0.65,0.6453387533875339,0.65,0.6454778554778555,0.7658983032293378,100
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,numeric,11,True,0.61,0.6152423469387754,0.61,0.6117485196795541,0.6792282430213464,100
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,numeric,11,False,0.63,0.6344581387303235,0.63,0.6312113137721386,0.6884072249589491,100
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,numeric,11,True,0.64,0.6572882483370289,0.64,0.6462598394513287,0.7946507936507936,100
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,numeric,11,False,0.65,0.6375396825396825,0.65,0.6303983618763962,0.787876464148878,100
1,target_population,3,50,13,37,13,K-Fold,5,SVM,numeric,11,True,0.63,0.6612355889724312,0.63,0.6397955204216074,0.785736726874658,100
1,target_population,3,50,13,37,13,K-Fold,5,SVM,numeric,11,False,0.68,0.7062402993348116,0.68,0.684829885800474,0.7864329501915709,100
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,numeric,11,True,0.68,0.6877836691410393,0.68,0.6825961538461539,0.7241972085385879,100
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,numeric,11,False,0.63,0.6320247046186895,0.63,0.6309373737373738,0.7208647509578543,100
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,numeric,11,True,0.66,0.6514285714285714,0.66,0.6493584905660379,0.7667955117679256,100
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,numeric,11,False,0.64,0.6343157894736842,0.64,0.6248859813084112,0.7702031746031746,100
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,numeric+iran,31,True,0.65,0.6580217086834734,0.65,0.6524399092970522,0.7606498084291188,100
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,numeric+iran,31,False,0.67,0.6756346153846152,0.67,0.6678736949325185,0.7606016420361249,100
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,numeric+iran,31,True,0.61,0.6128205128205129,0.61,0.6087161084529505,0.6599014778325123,100
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,numeric+iran,31,False,0.56,0.5582655826558266,0.56,0.5570163170163169,0.6245977011494253,100
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,numeric+iran,31,True,0.72,0.7250129342202513,0.72,0.7210884353741497,0.8281671045429667,100
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,numeric+iran,31,False,0.7,0.7054626972740315,0.7,0.6976038153265877,0.8072930487137384,100
1,target_population,3,50,13,37,13,K-Fold,5,SVM,numeric+iran,31,True,0.64,0.6624641148325359,0.64,0.6473404255319148,0.7877688013136289,100
1,target_population,3,50,13,37,13,K-Fold,5,SVM,numeric+iran,31,False,0.68,0.6785580693815987,0.68,0.6779120692389605,0.7943543513957309,100
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,numeric+iran,31,True,0.71,0.7189682539682539,0.71,0.7123850766155896,0.749776026272578,100
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,numeric+iran,31,False,0.66,0.6549245283018869,0.66,0.6568741100323625,0.7223074438970991,100
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,numeric+iran,31,True,0.63,0.6242692307692308,0.63,0.6236974789915967,0.7827176792556102,100
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,numeric+iran,31,False,0.66,0.6594172494172494,0.66,0.6501127819548873,0.7875308155446086,100
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc+numeric,62,True,0.63,0.6521473243068988,0.63,0.6374519569777302,0.7620522167487684,100
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc+numeric,62,False,0.66,0.6541343854615016,0.66,0.6534537409784934,0.7632002189381502,100
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc+numeric,62,True,0.59,0.6035363247863248,0.59,0.5951088929219601,0.6696715927750411,100
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc+numeric,62,False,0.63,0.6542140921409214,0.63,0.6365485052581826,0.7097974822112754,100
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc+numeric,62,True,0.62,0.6279957582184518,0.62,0.6227884615384615,0.7716305966064586,100
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc+numeric,62,False,0.6,0.5452116402116403,0.6,0.5712122687439144,0.7793854953475642,100
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc+numeric,62,True,0.6,0.6355581260844417,0.6,0.6130520594965675,0.7712086480569239,100
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc+numeric,62,False,0.65,0.6671343873517788,0.65,0.653476366149148,0.782935632183908,100
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc+numeric,62,True,0.6,0.6138152254249816,0.6,0.6046563011456628,0.6880714285714284,100
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc+numeric,62,False,0.63,0.628640350877193,0.63,0.6292,0.7225344827586206,100
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc+numeric,62,True,0.64,0.6348555148555148,0.64,0.6315951417004048,0.7659432950191573,100
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc+numeric,62,False,0.65,0.6430877192982456,0.65,0.6342317757009346,0.7693135194307608,100
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc+numeric+iran,82,True,0.65,0.659988527325824,0.65,0.6533440662806572,0.7578573617952928,100
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc+numeric+iran,82,False,0.67,0.668801721284343,0.67,0.6666165342747867,0.759864367816092,100
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc+numeric+iran,82,True,0.59,0.5939999999999999,0.59,0.591530612244898,0.6591023535851122,100
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc+numeric+iran,82,False,0.61,0.6133971631205674,0.61,0.6063153609444784,0.670344827586207,100
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc+numeric+iran,82,True,0.72,0.723,0.72,0.7208252319109463,0.8099777230432403,100
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc+numeric+iran,82,False,0.67,0.6697777777777777,0.67,0.6603861927546137,0.799736070060208,100
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc+numeric+iran,82,True,0.61,0.626268115942029,0.61,0.6158957504787156,0.7795137383689107,100
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc+numeric+iran,82,False,0.67,0.6729111234294162,0.67,0.6702433281004709,0.7869657361795294,100
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc+numeric+iran,82,True,0.66,0.6670201484623541,0.66,0.6622756410256411,0.7295178981937603,100
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc+numeric+iran,82,False,0.67,0.6632794612794614,0.67,0.665448717948718,0.716907772304324,100
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc+numeric+iran,82,True,0.65,0.6430416951469583,0.65,0.6404952380952382,0.793263929939792,100
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc+numeric+iran,82,False,0.65,0.6512685185185185,0.65,0.6411604185288395,0.7846143404488234,100
1,target_population,2,50,13,0,13,K-Fold,5,LogReg,numeric,11,True,0.8888888888888888,0.8924522189828312,0.8888888888888888,0.8903853348297793,0.9384615384615385,100
1,target_population,2,50,13,0,13,K-Fold,5,LogReg,numeric,11,False,0.873015873015873,0.8674103674103674,0.873015873015873,0.8689698101462807,0.9369230769230769,100
