iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
7,target_population,3,270,196,174,174,K-Fold,5,LogReg,numeric,11,True,0.553125,0.5768494438476665,0.553125,0.5503191757837506,0.7346697079321812
7,target_population,3,270,196,174,174,K-Fold,5,DecisionTree,numeric,11,True,0.4890625,0.4908969114020171,0.4890625,0.4897464550000419,0.6106561497119436
7,target_population,3,270,196,174,174,K-Fold,5,RandomForest,numeric,11,True,0.565625,0.5646521587598128,0.565625,0.5644768416498477,0.7187330129552836
7,target_population,3,270,196,174,174,K-Fold,5,SVM,numeric,11,True,0.5546875,0.5805199918615866,0.5546875,0.551213852217826,0.7268843249768009
7,target_population,3,270,196,174,174,K-Fold,5,AdaBoost,numeric,11,True,0.546875,0.5540934373825529,0.546875,0.5476773652101483,0.7195970172157136
7,target_population,3,270,196,174,174,K-Fold,5,XGBoost,numeric,11,True,0.5578125,0.5548947368421053,0.5578125,0.5548682127382359,0.7201102292609132
7,target_population,3,270,196,174,174,K-Fold,5,LogReg,numeric+iran,31,True,0.640625,0.6615308470452056,0.640625,0.645579763651835,0.8015780114207555
7,target_population,3,270,196,174,174,K-Fold,5,DecisionTree,numeric+iran,31,True,0.565625,0.5684630908847876,0.565625,0.5667050589079852,0.6708821482426633
7,target_population,3,270,196,174,174,K-Fold,5,RandomForest,numeric+iran,31,True,0.6671875,0.6645265032884435,0.6671875,0.6651288424958768,0.8074754551023663
7,target_population,3,270,196,174,174,K-Fold,5,SVM,numeric+iran,31,True,0.64375,0.6612167662257621,0.64375,0.64822493236699,0.8002095083951979
7,target_population,3,270,196,174,174,K-Fold,5,AdaBoost,numeric+iran,31,True,0.646875,0.6560356841927873,0.646875,0.649453079628179,0.8027574442736729
7,target_population,3,270,196,174,174,K-Fold,5,XGBoost,numeric+iran,31,True,0.6421875,0.6394888378842942,0.6421875,0.6400709368169567,0.7968698677889262
7,target_population,3,270,196,174,174,K-Fold,5,LogReg,desc+numeric,311,True,0.565625,0.5871896398307384,0.565625,0.5647109102599619,0.7431262113105596
7,target_population,3,270,196,174,174,K-Fold,5,DecisionTree,desc+numeric,311,True,0.5,0.5000479137406366,0.5,0.4999921289245548,0.6167623632215907
