username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,comments
abhistoria,https://x.com/abhistoria,Ahab Bdaiwi איהאבּ ܐܝܗܐܒ,"Assistant Professor in Islamic Philosophy & History, Leiden University| Series Editor, Islamic Thought & History| Editor in Chief, Taḥqīq Journal, Brill.",Leiden/London,,937.0,4281.0,July 2017,0,,1,"""Historia"" is Spanish/Portuguese for history. Not an Iranian profile; likely a personal account."
_dinken_,https://x.com/_dinken_,Ajmal Hussain A,It’s okay to get run over by a bus than never cross the road. I’m at least getting somewhere. Views and Opinions expressed are personal.,"Kollam, India",379.0,529.0,961.0,November 2012,0,,1,Western-style username with no discernible connection to Iran.
alijan2056,https://x.com/alijan2056,Ali,,,8.0,73.0,4.0,November 2014,2,,2,"no info"
addyperry20,https://x.com/addyperry20,LilyPerry,Okay but... I’m kinda close to stunning?  Come say hi in DMs.,where the vibes are,510.0,3722.0,1567.0,May 2025,2,,2,Suspended account
_uselessgothdm,https://x.com/_uselessgothdm,Definitely Not a Mimic,@ useless_goth_thembo_ in Twitch chat | Avantris brainrot still going strong | D&D/RPG/TTRPG things | Maker and collector of many math rocks (dice) |,,19.0,124.0,36.0,June 2020,2,,1,"""Addy Perry"" is a Western name."
ahmad76905530,https://x.com/ahmad76905530,ahmad,,,40.0,706.0,8.0,January 2023,2,,2,no info
am2002rmost,https://x.com/am2002rmost,Amir,,,14.0,252.0,0.0,March 2023,2,,2,no info
_nam11,https://x.com/_nam11,Nathan,"@charltonlive  contributor  | Certified in  @FA  Talent ID &  @ThePFSA  Data Analytics, Oppo Scouting & Set-Pieces  | Living the dream",,4887.0,2796.0,,May 2010,0,,0,liverpool fan page
afkari_saeed,https://x.com/afkari_saeed,سعید افکاری,آزادی,,,78.0,1273.0,August 2020,2,,1,no connection to iran. live in arab country
aliceparkny,https://x.com/aliceparkny,Alice Park,"Health and medicine (and occasional Olympics) national correspondent for  @TIME . Author of The Stem Cell Hope, How Stem Cell Medicine Can Change Our Lives.",New York NY,,469.0,4818.0,March 2009,0,,1,woman live in new york
abkoga,https://x.com/abkoga,A.B. Koga,SFF Author on Submission | Agent  @BookFairyAngus  | Doctor Husband and Dance Dad | Jiu Jitsu | Retired Gamer | Dark Academia WIP,Scottsdale,643.0,633.0,1953.0,September 2022,0,,1,man from Scottsdale
_sgtslaughter,https://x.com/_sgtslaughter,SGT SLAUGHTER,"WWE Hall of Famer, WWE Ambassador & former World Heavyweight Champion. For bookings contact PVT Paul Incerto @ 203-256-0004.",,,107.0,6124.0,September 2010,0,,1,have big american flag
aleaguewomen,https://x.com/aleaguewomen,Ninja A-League,"Official account of the Ninja A-League  Catch live game coverage, as well as news, ticketing and so much more here.",Australia,,2092.0,1356.0,August 2012,0,,0, Official account of the Ninja A-League fan page.
_hannahritchie,https://x.com/_hannahritchie,Hannah Ritchie,Deputy Editor  @OurWorldinData  / Researcher at  @UniofOxford  / Honorary Fellow at  @EdinburghUni  @EdCentreCC  / Not the End of the World:  amzn.to/3MdaOci,"Edinburgh, UK",,1337.0,7978.0,July 2014,0,,1,woman from uk
afterpay_au,https://x.com/afterpay_au,Afterpay,Don’t just pay later. #PayBetter Afterpay it in 4.,Australia,5939.0,521.0,964.0,July 2014,0,,0,company from australia
_sky_tw,https://x.com/_sky_tw,spinoss,,,1.0,19.0,0.0,January 2023,2,,2,no info
