username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,comments
a_s_v_t_r,https://x.com/a_s_v_t_r,حــزامـ,اللَّهُمَّ لَا تَدَع لي أمْراً إِلَّا يَسَّرَتْهُ وَلَا حُلْماً إِلَّا حَقَّقَتَهُ,ID52159146623,389.0,943.0,,May 2024,2,,2,No twitter account
ali_tavakoli_28,https://x.com/ali_tavakoli_28,hopkinz,سر سری رد شو و زندگی کن.دقت دق ات میدهد.,shiraz_iran,90.0,128.0,1448.0,December 2012,1,1,1,"Iranian individual, Shiraz"
adryn848,https://x.com/adryn848,آدرین,,,14.0,539.0,0.0,May 2024,2,,2,Looks like a bot
alexmarlow,https://x.com/alexmarlow,Alex Marlow,"**BREAKING THE LAW** OUT NOW! 'The Alex Marlow Show,'  @BreitbartNews  EIC, 3x-NYT bestseller. “Alex knows it all.” -President Trump","Chappaquiddick, MA",,271.0,7396.0,January 2009,0,,1,American
aaihs,https://x.com/aaihs,AAIHS,AAIHS was founded to foster dialogue about #Black thought & culture. We publish the blog  @BlkPerspectives  (President:  @robgreeneII ):  bit.ly/2iEQ4uU,,,108.0,6145.0,May 2014,0,,1,American Person
abogadasmx,https://x.com/abogadasmx,Abogadas MX,Red de Liderazgo y Desarrollo Profesional para abogadas en México.,Mexico,4618.0,839.0,3107.0,March 2015,0,,0,Mexcian
alirezasafarpo7,https://x.com/alirezasafarpo7,Alireza Safarpoor,AlirezaSFP,,7.0,122.0,77.0,August 2021,1,0,1,Iraninan no place 
agolp,https://x.com/agolp,Armand Golpaygani,,"Paris, France",197.0,471.0,162.0,November 2009,0,,1,French
aji_fellowships,https://x.com/aji_fellowships,Allbritton Journalism Institute,,,1029.0,20.0,26.0,February 2023,0,,0,News channel
alltyf_,https://x.com/alltyf_,طيف سامي,,,,11.0,234.0,October 2022,0,,1,Egypt
alimeelad94,https://x.com/alimeelad94,Mohammed Ali,,The Netherlands,89.0,305.0,1916.0,October 2017,0,,1,Saudi
allanmau1992,https://x.com/allanmau1992,Allan Mau,,,27.0,560.0,14.0,May 2024,0,,1,random person
4noura,https://x.com/4noura,Noura Erakat,"Human Rights attorney | Professor| Author, Justice For Some | Justicia, Paz, Amor",,,2719.0,5587.0,November 2009,0,,1,random person
abdynal18132,https://x.com/abdynal18132,Zain Al-Ameri,,,17.0,552.0,10.0,September 2025,0,,1,random person
ahwaz1925__,https://x.com/ahwaz1925__,عربستان,ليس وطني دائما على حق ولكني لا استطيع ان امارس حقاً حقيقياً الا في وطني,,26.0,130.0,210.0,September 2024,1,2,1,irani
abu_aqeel86,https://x.com/abu_aqeel86,عبدالله الخالدي,,,0.0,16.0,4.0,September 2025,2,,2,terroirst
6njeli,https://x.com/6njeli,اونجلیناجیلی,ماه پشت ابر نمیمونه تو خوب بمون، بلاخره آدم بدا یه جا رسوا میشن,İstanbul-Turkey,,164.0,5593.0,September 2018,0,,1,turky
abtc,https://x.com/abtc,American Bitcoin,Nasdaq: ABTC | Building America's Bitcoin infrastructure backbone,USA,,6.0,374.0,March 2025,0,,0,American
afintl_,https://x.com/afintl_,Afghanistan International - افغانستان اینترنشنال,اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان The First 24/7 International News Channel for Afghanistan,"UK, London",,8.0,8.0,August 2021,0,,2,Afganistan tv
abwmhdy75844,https://x.com/abwmhdy75844,سجاد ابو مهدي,,,0.0,70.0,0.0,September 2025,2,,2,Nan
a_soleimani_f,https://x.com/a_soleimani_f,عارفه سلیمانی,خبرنگار,,14.0,93.0,27.0,May 2023,1,2,1,
abdelmonim68330,https://x.com/abdelmonim68330,Abdelmonim Elgak,,,0.0,15.0,1.0,November 2025,2,,2,Nan
al_sharifzadeh,https://x.com/al_sharifzadeh,علی شریف زاده اردکانی,وكيل پایه یک دادگستری ،مدرس دانشگاه و عضو کانون وکلای مرکز,Tehran,4540.0,367.0,847.0,March 2020,1,1,1,Irani 
alireza__ziyaei,https://x.com/alireza__ziyaei,Alireza Ziaee,,,0.0,45.0,0.0,December 2025,2,,2,Bot
abdulzahraa_,https://x.com/abdulzahraa_,عبدالزهراء عبدالحسين,Earnestly striving to achieve the honour of becoming one of the sincere slaves of Sayeda Fatima al-Zahraa (as).,جنة الخدام بين الحرمين,2430.0,366.0,5896.0,May 2019,0,,1,
0l8o0xgtjkorcjb,https://x.com/0l8o0xgtjkorcjb,SaraThoreau,,,127.0,4554.0,0.0,September 2023,2,,2,Uknown
0pps__,https://x.com/0pps__,Think,"@_Alignments ,",,22.0,159.0,18.0,August 2024,2,,2,Doesnt exist
ajturk,https://x.com/ajturk,Al Jazeera Türk,"Haber, analiz, görüş yazıları, belgeseller. Son dakika haberler ve canlı anlatım adresi:  @AJTCanli . İletişim için:  @AlJazeeraTurk .","Istanbul, Türkiye",,7.0,1357.0,January 2011,0,,0,Aljazira terror
ahllam_music,https://x.com/ahllam_music,ahllam,artist,,6758.0,2.0,45.0,September 2022,0,,0,
a_alirezabeigi,https://x.com/a_alirezabeigi,احمد علیرضابیگی,نماینده دوره دهم و یازدهم مردم تبریز، اسکو و آذرشهر در مجلس شورای اسلامی|استاندار اسبق آذربایجان شرقی t.me/ahmadalirezabe …,Islamic Republic of Iran,3823.0,30.0,427.0,December 2019,2,,2,Doesnt exist
agakeruka71284,https://x.com/agakeruka71284,あがけるか,,,100.0,3464.0,0.0,September 2023,2,,2,japan bot
ahahistorians,https://x.com/ahahistorians,American Historical Association,The American Historical Association is the largest professional organization serving historians in all fields and all professions.  historians.org/join,"Washington, D.C.",,2335.0,1311.0,September 2009,0,,0,American
acrvir,https://x.com/acrvir,acrvir,,,0.0,42.0,1.0,February 2021,2,,2,Unkown
abu_al_askary,https://x.com/abu_al_askary,ابو علي العسكري,المسؤول الأمني لكتائب حزب الله في العراق,Iraq,2697.0,0.0,4.0,August 2023,2,,2,Donest exist
alietamedia,https://x.com/alietamedia,علی اعطا,‌کارشناسی‌ارشد پیوسته و دکتری معماری | عضو هیئت رییسه و سخنگوی شورای پنجم تهران | معمار | روزنامه‌نگار,Tehran,,1202.0,4615.0,October 2016,1,1,1,Irani
ajarabic,https://x.com/ajarabic,قناة الجزيرة,الجزيرة.. الرأي والرأي الآخر.. تابع أخبارنا العاجلة على  @AJABreaking,Qatar,,26.0,1349.0,April 2007,0,,0,Al jazira
