username,display_name,description,location,followers_count,following_count,statuses_count,created_at,person_vs_organization,comments
_mahdiyar313,علی اکبر رائفی پور,یک انقلابی بی‌زار از چپ و راست /جبهه صبح ایران/ ریتوییت به معنای تایید نیست,۱:۲۰,0.0,1054.0,6124.0,November 2022,2,suspended
_freeeagle_,Free eagle,سجل انا عربي,,138.0,213.0,2333.0,August 2014,0,
advhassanfarooq,Muhammad Hassan Farooq,LLM Graduate | University of Bradford  Advocate High Court  Law | Justice | Continuous Learning,"Macclesfield, England",0.0,18.0,6.0,December 2025,2,suspended
ahwaztammoz2021,Freedom Ahwaz Arabia,لمكافحة المشروع التوسعي الإيراني في المنطقة #عاشت_الاحواز #ياشاسين_آزربايجان  Official account:  @ReysanAhwazIndy,Ahwaz Arabiya,629.0,298.0,252.0,January 2024,2,private
2rr0i_,🌟,#Shabab Al Ahli Dubai fc - insta - w5pll Tik - 2.rr0i - ( وَاذْكُر رِبِّكَ إِذَا نَسِيتَ ),"Dubai, United Arab Emirates",4.0,37.0,25.0,April 2025,1,
adamssmith66981,Adam's Smith,MD. Orthopedic surgeon Humanitarian.|||Saving lives D/B Certified | Traveler||Car lover,Houston Texas,34.0,320.0,23.0,August 2025,1,Texas
afshin_rasa,Afshin Rasa,"Civil Engineer                                                                 Deep Leaning, Image Processing",,3.0,17.0,31.0,March 2021,2,not enough info
1mhyar,Mahyar,Official twitter account of Mahyar,,2001.0,15.0,9.0,September 2019,2,not enough info
academyjp6,JP6 Football Academy,Official Football Academy of Charlton Athletic Captain Jason Pearce.,,367.0,10.0,210.0,July 2020,1,Random account 
ajan_iran,پاسبان,فر ایران را میستایم  #جاوید_شاه,,823.0,963.0,1349.0,October 2013,2,Not enough info
ali_0909a,36🏆Ali,الأهلي وطن يحكي فخرا، وهل بعد الأهلي عشق، وهل بعد الأهلي جنون,,755.0,1099.0,36.0,March 2020,1,dubai person
ahmedsaad189151,Ahmedsaad,لو كنت تعلم ما يقال في غيابك من أقرب الناس إليك لأصبحت تبتسم للحيوانات فقط . . !,Iraq,1.0,16.0,3.0,September 2025,2,Suspended
