username,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,comments
ahmadi_ahmadii,bəmalu,,,21.0,155.0,173.0,March 2022,1,persian protest amplifier
0qcgdh3bdamfozf,هيثم عبده نعمان الحجري,,,80.0,218.0,3761.0,September 2021,0,yemeni houthi account
_soommiii_,soosoo~,,,27.0,85.0,79.0,November 2021,1,persian personal account
akbarghasemi62,Akbar Ghasemi,,,28.0,122.0,537.0,June 2022,1,pro-iran propaganda account
ahimsaaaa,Ahimsa آهیمسا,,,12.0,61.0,128.0,September 2022,2,private account
acetaminophen69,Acetaminophen,,,2.0,54.0,108.0,June 2025,1,iranian monarchist account
aecp_faecp,AECP,,,3686.0,287.0,5127.0,February 2016,0,spanish medical organization
aboutparhammhb,P4rhumm,,G town,1543.0,498.0,5356.0,December 2021,1,persian personal account
agha_xavier2,خاویر پرز دکوئیار R.I.P,همواره مشروطه‌خواه. وفادار به: شاه، میهن، آزادی,روی در دیوار هجران,5940.0,665.0,1303.0,June 2018,1,iranian monarchist account
alparsai,Ali Parsai,"Soyez réalistes, demandez l'impossible.",Planet Earth,377.0,958.0,5809.0,November 2016,0,apolitical classical music
_ali_najjar_,علی نجار,او از پیروان م ح م د بن حسن بود,کهکشان راه شیری ، دست چپ,770.0,890.0,4161.0,December 2018,1,iranian religious account
affgnl,AFFG,Great players need a Great Management,"Gelderland, Nederland",150.0,101.0,699.0,January 2017,0,dutch football agency
alecknowsads,Alec Lopez,Head of Production  @markhamyard,"St Petersburg, FL",81.0,271.0,941.0,September 2015,0,american media professional
_angry_n___,i N !,تا اطلاع ثانوی فقط #زن_زندگی_آزادی,!,149.0,160.0,4797.0,October 2015,1,iranian in europe
9rcl7at9wzomubs,Мақсат Асылбеков,,,12.0,65.0,6.0,April 2021,0,kazakh account
4m2dvxbg7uptwhz,.,,,104.0,383.0,8.0,September 2021,0,arabic entertainment account
ahadisherko,SH.1990,,,47.0,241.0,34.0,September 2021,2,kurdish name undetermined
80403b7197f4437,@Kaveh_Mesgarian,,,65.0,290.0,526.0,December 2014,1,iranian no content
alijannatpour,Ali Jannatpour,,,35.0,249.0,1280.0,December 2014,1,pro-pahlavi opposition account
alireza_didani,Alireza,,,134.0,58.0,1154.0,May 2017,1,iranian geopolitics commentator
akbarabasi13481,Akbar.A,,,51.0,91.0,1922.0,November 2016,1,iranian pensioner advocate
ahsana30012,أبو محمد🇵🇸,امت گرا Internationalism#اللهم_عجل_لولیک_الفرج,,148.0,4060.0,757.0,February 2025,2,private account
alamyn39470,محمد الامين الضبيبي,,,73.0,919.0,101.0,September 2025,0,arabic quiz spam
aboarab90547242,حبیبی محمد,,,61.0,777.0,175.0,November 2022,1,sparse persian account
__rumi22_,rumi,,,13.0,491.0,134.0,November 2023,2,private account
a_01_2024,Ali,,,48.0,454.0,159.0,February 2025,1,pro-khamenei regime account
ahoramazda39384,Ahora Mazda,,,28.0,308.0,526.0,March 2024,1,iranian nationalist account
_ghazaltaleb,Ghazal,,,13.0,47.0,3115.0,February 2020,1,iranian monarchist account
ali_94355,a‌,,,0.0,49.0,12.0,March 2024,0,crypto airdrop account
alireza_kh29320,Alireza,,,29.0,509.0,15.0,August 2025,1,iranian no content
akbarkhan025,Akbar kakar,pashtoonkhwa S O,جنوبی پښتونخوا کوټه,3.0,141.0,12.0,November 2025,0,pashtun afghan account
alirostami89168,Ali Rostami,,,7.0,73.0,14.0,December 2025,1,iranian nationalist account
ahmed17032001,Ahmed1379,,,1.0,137.0,20.0,August 2025,1,iranian political commentator
adamfnward,Adam Ward,,,0.0,49.0,35.0,October 2023,0,american far-right account
ali1427_rad,Ali rad 109,,,0.0,119.0,27.0,November 2024,0,giveaway spam account
alisoleymaiii,مبارز صلح,,,13.0,244.0,57.0,February 2024,1,iranian nationalist account
aliyu_hass50470,Aliyu Adam Hassan,,,6.0,588.0,7.0,July 2023,0,nigerian crypto account
adaneabel3426,Abel Adane,,,6.0,190.0,13.0,December 2024,0,ethiopian account
aliibeyranvand,Alireza Beyranvand,Iran National goalkeeper  @TeamMelliIran @persepolisfc,,0.0,28.0,52.0,April 2020,1,iran national goalkeeper
ali_ghm1993,Ali Ghiamy,,,7.0,669.0,19.0,July 2024,2,private account
adarehgharibi,Amirhosein Zandi darehgharibi,دکترای جامعه شناسی,,5.0,217.0,39.0,August 2025,1,iranian sociologist account
