iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
7,target_population,3,270,196,174,174,K-Fold,5.0,LogReg,desc,300,True,0.4265625,0.4815585072715496,0.4265625,0.4053224460073885,0.6030072098654449
7,target_population,3,270,196,174,174,LOOCV,,LogReg,desc,300,True,0.4390625,0.5035436638624408,0.4390625,0.4254674761739198,0.502520740295016
7,target_population,3,270,196,174,174,K-Fold,5.0,DecisionTree,desc,300,True,0.3765625,0.4515095594373143,0.3765625,0.3351167312657783,0.5405717204597302
7,target_population,3,270,196,174,174,LOOCV,,DecisionTree,desc,300,True,0.3984375,0.5079799218360738,0.3984375,0.3714453513753798,0.4778267442267911
7,target_population,3,270,196,174,174,K-Fold,5.0,RandomForest,desc,300,True,0.4109375,0.4891232375811949,0.4109375,0.3866741093674711,0.5973619468449136
7,target_population,3,270,196,174,174,LOOCV,,RandomForest,desc,300,True,0.415625,0.4910294440782246,0.415625,0.3938699741402889,0.5507503570496461
7,target_population,3,270,196,174,174,K-Fold,5.0,SVM,desc,300,True,0.4,0.4798595993864537,0.4,0.3688677135376288,0.602179347064339
7,target_population,3,270,196,174,174,LOOCV,,SVM,desc,300,True,0.409375,0.5031964285714287,0.409375,0.3789715250965251,
7,target_population,3,270,196,174,174,K-Fold,5.0,AdaBoost,desc,300,True,0.309375,0.5093035714285714,0.309375,0.2043455878304187,0.5291541246181805
7,target_population,3,270,196,174,174,LOOCV,,AdaBoost,desc,300,True,0.3328125,0.6421152726970403,0.3328125,0.2417201634024321,0.778523001609442
7,target_population,3,270,196,174,174,K-Fold,5.0,XGBoost,desc,300,True,0.378125,0.4716769333623569,0.378125,0.3401114431027159,0.5683878951711905
7,target_population,3,270,196,174,174,LOOCV,,XGBoost,desc,300,True,0.384375,0.4898366863180444,0.384375,0.3516799826919726,0.3900614566417276
7,target_population,3,270,196,174,174,K-Fold,5.0,LogReg,username,300,True,0.421875,0.177978515625,0.421875,0.2503434065934066,0.5004291845493561
7,target_population,3,270,196,174,174,LOOCV,,LogReg,username,300,True,0.421875,0.177978515625,0.421875,0.2503434065934066,0.2548368959759115
7,target_population,3,270,196,174,174,K-Fold,5.0,DecisionTree,username,300,True,0.2875,0.16884765625,0.2875,0.2093705395375392,0.5004291845493561
7,target_population,3,270,196,174,174,LOOCV,,DecisionTree,username,300,True,0.271875,0.073916015625,0.271875,0.1162315724815724,0.46875
7,target_population,3,270,196,174,174,K-Fold,5.0,RandomForest,username,300,True,0.278125,0.167120361328125,0.278125,0.1839036011229888,0.5004291845493561
7,target_population,3,270,196,174,174,LOOCV,,RandomForest,username,300,True,0.271875,0.073916015625,0.271875,0.1162315724815724,0.5822125448275528
7,target_population,3,270,196,174,174,K-Fold,5.0,SVM,username,300,True,0.421875,0.177978515625,0.421875,0.2503434065934066,0.4982407300003866
7,target_population,3,270,196,174,174,LOOCV,,SVM,username,300,True,0.421875,0.177978515625,0.421875,0.2503434065934066,
7,target_population,3,270,196,174,174,K-Fold,5.0,AdaBoost,username,300,True,0.30625,0.0937890625,0.30625,0.1436004784688995,0.4982407300003866
7,target_population,3,270,196,174,174,LOOCV,,AdaBoost,username,300,True,0.30625,0.1288090128755364,0.30625,0.1813444108761329,0.2497262105855855
7,target_population,3,270,196,174,174,K-Fold,5.0,XGBoost,username,300,True,0.421875,0.177978515625,0.421875,0.2503434065934066,0.5
7,target_population,3,270,196,174,174,LOOCV,,XGBoost,username,300,True,0.421875,0.177978515625,0.421875,0.2503434065934066,0.5
7,target_population,3,270,196,174,174,K-Fold,5.0,LogReg,fullname,300,True,0.478125,0.4599512418662768,0.478125,0.41691712784045,0.5823134898914472
7,target_population,3,270,196,174,174,LOOCV,,LogReg,fullname,300,True,0.48125,0.4599726519395637,0.48125,0.4218051010618724,0.4372780583024011
7,target_population,3,270,196,174,174,K-Fold,5.0,DecisionTree,fullname,300,True,0.3640625,0.386973735662148,0.3640625,0.3351156475104541,0.5654411571912579
7,target_population,3,270,196,174,174,LOOCV,,DecisionTree,fullname,300,True,0.3734375,0.4502010195463271,0.3734375,0.3141377770296444,0.4864247338137494
7,target_population,3,270,196,174,174,K-Fold,5.0,RandomForest,fullname,300,True,0.3671875,0.384228220122273,0.3671875,0.3382130990003828,0.5715392177652437
7,target_population,3,270,196,174,174,LOOCV,,RandomForest,fullname,300,True,0.3875,0.4578272960567003,0.3875,0.3322605566984712,0.523098426685806
7,target_population,3,270,196,174,174,K-Fold,5.0,SVM,fullname,300,True,0.475,0.4594605654761904,0.475,0.4132803003428378,0.5812397929716197
7,target_population,3,270,196,174,174,LOOCV,,SVM,fullname,300,True,0.48125,0.4619936530932442,0.48125,0.4197928309388508,
7,target_population,3,270,196,174,174,K-Fold,5.0,AdaBoost,fullname,300,True,0.36875,0.379580007667559,0.36875,0.3702336203196676,0.5416059214055794
7,target_population,3,270,196,174,174,LOOCV,,AdaBoost,fullname,300,True,0.1046875,0.2214140661524077,0.1046875,0.1387237773088381,0.2287554433457062
7,target_population,3,270,196,174,174,K-Fold,5.0,XGBoost,fullname,300,True,0.45,0.4172268038393644,0.45,0.3716291530383887,0.5524809724558248
7,target_population,3,270,196,174,174,LOOCV,,XGBoost,fullname,300,True,0.4640625,0.4325579751131222,0.4640625,0.3869195178104273,0.3604945500086997
7,target_population,3,270,196,174,174,K-Fold,5.0,LogReg,desc_user,300,True,0.425,0.4769911268858807,0.425,0.4023368741422892,0.5991018585310095
7,target_population,3,270,196,174,174,LOOCV,,LogReg,desc_user,300,True,0.44375,0.5051552964254578,0.44375,0.429850104925055,0.5031145543343774
7,target_population,3,270,196,174,174,K-Fold,5.0,DecisionTree,desc_user,300,True,0.3703125,0.4485219451434082,0.3703125,0.3329467080806104,0.544206790951359
7,target_population,3,270,196,174,174,LOOCV,,DecisionTree,desc_user,300,True,0.403125,0.5109933712121213,0.403125,0.3731597099982397,0.4822484265045625
7,target_population,3,270,196,174,174,K-Fold,5.0,RandomForest,desc_user,300,True,0.4109375,0.4941921095292541,0.4109375,0.3861777767971787,0.5942411124241194
7,target_population,3,270,196,174,174,LOOCV,,RandomForest,desc_user,300,True,0.4109375,0.4940280387815575,0.4109375,0.3906281525851197,0.5553985997129104
7,target_population,3,270,196,174,174,K-Fold,5.0,SVM,desc_user,300,True,0.39375,0.4688122814685315,0.39375,0.3605907245800384,0.6018730984538723
7,target_population,3,270,196,174,174,LOOCV,,SVM,desc_user,300,True,0.4,0.486638317189047,0.4,0.3662495642540653,
7,target_population,3,270,196,174,174,K-Fold,5.0,AdaBoost,desc_user,300,True,0.3109375,0.5253533663225385,0.3109375,0.2071171276033737,0.5323424631713259
7,target_population,3,270,196,174,174,LOOCV,,AdaBoost,desc_user,300,True,0.3328125,0.6761071639537938,0.3328125,0.2419935766358463,0.9617870183756718
7,target_population,3,270,196,174,174,K-Fold,5.0,XGBoost,desc_user,300,True,0.3859375,0.4956276384252897,0.3859375,0.3507323355537641,0.5712341396855547
7,target_population,3,270,196,174,174,LOOCV,,XGBoost,desc_user,300,True,0.3921875,0.5120066817755549,0.3921875,0.364269404953324,0.3974618059583188
7,target_population,3,270,196,174,174,K-Fold,5.0,LogReg,desc_fullname,300,True,0.45625,0.5026274785151774,0.45625,0.4560633913998896,0.6397115570506127
7,target_population,3,270,196,174,174,LOOCV,,LogReg,desc_fullname,300,True,0.471875,0.5187380086541901,0.471875,0.4738357838950069,0.6120852968043151
7,target_population,3,270,196,174,174,K-Fold,5.0,DecisionTree,desc_fullname,300,True,0.3921875,0.4700668685996666,0.3921875,0.3781717989455819,0.5679141881621428
7,target_population,3,270,196,174,174,LOOCV,,DecisionTree,desc_fullname,300,True,0.403125,0.4842930122512118,0.403125,0.3976077417744747,0.528362872999072
7,target_population,3,270,196,174,174,K-Fold,5.0,RandomForest,desc_fullname,300,True,0.44375,0.5123910504326225,0.44375,0.4448788218194678,0.6192139243924719
7,target_population,3,270,196,174,174,LOOCV,,RandomForest,desc_fullname,300,True,0.4359375,0.4962087255489003,0.4359375,0.4357012350545511,0.6046790933234737
7,target_population,3,270,196,174,174,K-Fold,5.0,SVM,desc_fullname,300,True,0.4578125,0.5097691887332174,0.4578125,0.4606649604744117,0.6303433083700654
7,target_population,3,270,196,174,174,LOOCV,,SVM,desc_fullname,300,True,0.4515625,0.500773973614066,0.4515625,0.4509114806692658,
7,target_population,3,270,196,174,174,K-Fold,5.0,AdaBoost,desc_fullname,300,True,0.4,0.429797495995032,0.4,0.3844844293486668,0.5720423436110468
7,target_population,3,270,196,174,174,LOOCV,,AdaBoost,desc_fullname,300,True,0.159375,0.2478725109901641,0.159375,0.1733240014694347,0.3209686436704945
7,target_population,3,270,196,174,174,K-Fold,5.0,XGBoost,desc_fullname,300,True,0.4203125,0.5032194698786425,0.4203125,0.4056491093967994,0.6048369896183736
7,target_population,3,270,196,174,174,LOOCV,,XGBoost,desc_fullname,300,True,0.41875,0.4879779913477479,0.41875,0.4046894534375832,0.543036036640181
7,target_population,3,270,196,174,174,K-Fold,5.0,LogReg,user_fullname,300,True,0.475,0.4541497406853618,0.475,0.4149523120607606,0.580067528298148
7,target_population,3,270,196,174,174,LOOCV,,LogReg,user_fullname,300,True,0.4765625,0.4507888531563373,0.4765625,0.417484178629376,0.430121112931601
7,target_population,3,270,196,174,174,K-Fold,5.0,DecisionTree,user_fullname,300,True,0.365625,0.3670320355417943,0.365625,0.325421089745071,0.5508391180209179
7,target_population,3,270,196,174,174,LOOCV,,DecisionTree,user_fullname,300,True,0.384375,0.4698256784511744,0.384375,0.3300218211934895,0.4824511307176274
7,target_population,3,270,196,174,174,K-Fold,5.0,RandomForest,user_fullname,300,True,0.36875,0.3826732255017978,0.36875,0.3555866424847445,0.5641220686888605
