username,display_name,description,location,followers_count,following_count,statuses_count,created_at,locals_vs_diaspora,comments
alaina32h,Alaina,Dare to be yourself and don't let anyone make you feel bad.,,1198.0,1759.0,434.0,August 2014,2,no meaningful content
alalehkamranlaw,"Alaleh Kamran, Esq.","State & Fed criminal defense trial attorney, Radio & TV legal analyst. KTLA, People, CBS, NBC, BBC Persia, Guardian, Hollywood Reporter, New York Post",Los Angeles,1435.0,1323.0,5636.0,March 2009,0,iranian-american attorney la
_theleftover,LEFTOVER,بازمانده ۱۴ اکتبر | همه‌کاره/هیچ‌کاره,خارج,462.0,563.0,8309.0,June 2018,0,iranian diaspora account
abolfazl_1957,a.l.r,,,2.0,28.0,0.0,September 2022,2,persian handle no content
alavi2183,علی علوی,اگر اراده ای نباشد عشقی در کار نیست:  انتخاب ایستادگی در مقابل ظلم وبیداد حقی است که هیچ کس نمی تواند از کسی بگیرد.هوادار مجاهدین خلق ایران,زیر گنبد کبود,5910.0,3195.0,1356.0,April 2017,2,mek supporter account
ali12793587,Ali,,,0.0,1.0,0.0,January 2022,2,no content undetermined
alwahda_int,Al Wahda FC - EN,Official Account of  @alwahdafcc  in English | #WHDFC,Abu Dhabi,6643.0,24.0,7329.0,July 2013,2,emirati football club
alizamaniyan,Ali Zamaniyan,,,52.0,380.0,544.0,October 2010,2,iranian monarchist account
altendprod,Alt Ending Productions,,,601.0,0.0,2.0,June 2021,2,american political reposts
alanbro79651597,Alan Brown,,,0.0,11.0,0.0,August 2021,2,no content undetermined
ali_hedielou,علی هدیه لو,دکوراتور، نجار، شاعر، طنزنویس، شیفته موسیقی و شعر، طراحی‌صنعتی خونده در دانشگاه تهران، کمی بی‌ادب، گرگ‌دهن‌آلوده‌ی یوسف‌ندریده instagram.com/hedielou,ناف تهرون، دوسانت به چپ,0.0,2978.0,1332.0,April 2014,1,iranian carpenter poet
alivesali,AliV5,آنک منم پا بر صلیب باژگون نهاده، با قامتی به بلندی فریاد.  «متاهل»,,654.0,1163.0,5311.0,April 2012,2,iranian personal account
alfa12365770,Alfa,,,2.0,23.0,1.0,August 2022,2,no content undetermined
alexnguyen15895,Dr tuyan,dentist doctor,Madrid Spain,0.0,22.0,1.0,June 2025,2,vietnamese dentist spain
ahmedkroy,Ahmed Roy,Screenwriter | Film Director | MAMI Festival Award Winner,,564.0,466.0,1304.0,March 2012,2,indian filmmaker account
abearfromsea,Bear,"Football is dead? Nah mate, is been dead since 2007.",,2576.0,1243.0,3881.0,November 2009,2,malaysian chinese account
aesmailnazhad,agiri esmailnazhad,"ڕۆژنامەنووس و چالاکی سیاسی"" پرۆسەی دەوڵەتی کوردی بریار نییە، بەڵکوو فراژۆبوونه! ژن،ژیان،ئازادی",,9213.0,1609.0,6939.0,February 2017,2,kurdish journalist undetermined
abdeekalantari,Abdee Kalantari,عبدی کلانتری --- abdee-kalantari.blogspot.com nilgoon.org vimeo.com/user5224333,,5015.0,1583.0,1290.0,October 2014,2,iranian intellectual critic
afsamaryam96589,M,پروانه ای با بال های آبی,,1.0,12.0,2.0,December 2025,2,persian bio no content
ahmadreza_ka,Ahmadreza,,,3.0,34.0,0.0,October 2021,2,persian name no content
abeirami,Ahmad Beirami,stealth // ex Gemini RL+Inference  @GoogleDeepMind  // Chat AI  @AIatMeta  // RL Agents  @EA  // ML+Information Theory  @MIT + @Harvard + @GeorgiaTech,"{NYC, SFO, YYZ}",0.0,4569.0,4721.0,December 2018,2,ml researcher deepmind
alphawings,Luke ✍️ megahertz.sol,Creative Micro-Writer.  I write stories in #SixWords. ©  Web3 | Degen #TheGoonsClub,Malta,1855.0,1330.0,0.0,June 2007,2,web3 writer malta
alibahaadori,علی بهادری جهرمی,سخنگو و دبیر هیئت دولت شهید رئیسی | حقوق‌دان و عضو هیئت علمی دانشگاه تربیت مدرس,Islamic Republic of Iran,0.0,138.0,2464.0,September 2018,2,suspended account
actforamerica,ACT For America,"The nation’s premier grassroots movement dedicated to preserving America’s culture, sovereignty & security.  SUBSCRIBE:  actforamerica.substack.com","Washington, DC",0.0,508.0,4955.0,July 2010,2,american advocacy organization
adv_project,Advancement Project,"Next generation racial justice, civil rights org. Supporting, inspiring nat'l and local movements toward a just democracy. #PoliceFreeSchools #MovementLawyering","Washington, DC",0.0,2014.0,604.0,May 2009,2,american civil rights org
ahadsadeghi71,Ahad.sadeghi71,روزگارم بد نیست، اگر نابخردی ها و کج اندیشی ها و قضاوت ها بگذارند.,همه جای ایران سرای من است,238.0,735.0,336.0,March 2019,2,iranian cinema commentator
alaki_,Pourya,"Always passionate about discovering new things in the field of software engineering, photography, human-computer interactions and other related goodies...","Tehran, Iran",2705.0,1428.0,1347.0,October 2010,1,iranian software engineer
9tantiope,9T Antiope,@NimaAghiani  & Sara Bideli Shamloo ( @SarrSewZenith ). Electronic / Experimental / Abstract  9tantiope.bandcamp.com - all enquiries: booking@9tantiope.com,Tehran / Paris,550.0,202.0,927.0,December 2015,0,iranian music duo
agnescallamard,Agnes Callamard,"Secretary General, Amnesty International. Ex UN Special Rapporteur and Columbia Univ. Tweets on human rights. Views my own.  @agnescallamard .bsky.socia",London,0.0,2694.0,1307.0,July 2011,2,amnesty international head
alexanderdecroo,Alexander De Croo 🇺🇳,@UNDP  Administrator &  @UN  Under-Secretary-General  | Former Prime Minister of Belgium  | Former Minister of Finance and Development,"New York, USA",0.0,335.0,1376.0,May 2009,2,undp administrator
18thcent_kitty,Kitty Pridden,"I live in a glorious Georgian bubble, masquerades, coffee houses, highwaymen, rakes, taffeta & Tyburn, decadence & debauchery! Creator of #FridayNightFrills",An 18th Century Bubble,0.0,988.0,2327.0,August 2011,2,fashion history account
alisongopnik,Alison Gopnik,"Cognitive scientist, psychologist, philosopher, author of Scientist in the Crib, Philosophical Baby, The Gardener & The Carpenter, WSJ Mind And Matter columnist",Berkeley,0.0,35.0,1845.0,September 2011,2,cognitive scientist berkeley
abmomeni,عبدالله مومنی Abdollah Momeni,Political activist,Tehran,0.0,1186.0,6126.0,April 2017,1,iranian political activist
