iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc,51,True,0.52,0.5547388059701492,0.52,0.48623626373626366,0.5859740558292281
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc,51,False,0.5,0.42237132352941176,0.5,0.4529796118889708,0.5927574165298304
1,target_population,3,50,13,37,13,LOOCV,,LogReg,desc,51,True,0.54,0.569167326172979,0.54,0.518759785697438,0.5233328954570333
1,target_population,3,50,13,37,13,LOOCV,,LogReg,desc,51,False,0.34,0.2584285714285714,0.34,0.2914676616915423,0.5230687465790915
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc,51,True,0.48,0.569375,0.48,0.41847982083276203,0.5420541871921182
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc,51,False,0.47,0.5832839721254355,0.47,0.40481617647058826,0.5462538587848933
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,desc,51,True,0.45,0.48078947368421054,0.45,0.39391304347826084,0.4540753694581281
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,desc,51,False,0.46,0.5006766917293233,0.46,0.4026163234172388,0.3149161466885605
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc,51,True,0.5,0.5439269406392694,0.5,0.4544662162162162,0.6220181171319102
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc,51,False,0.49,0.5471917808219178,0.49,0.4459393939393939,0.5913691844553913
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,desc,51,True,0.54,0.5775989010989011,0.54,0.5004343045629467,0.5846489326765189
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,desc,51,False,0.52,0.5530824175824176,0.52,0.4803605219756373,0.5514730158730159
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc,51,True,0.47,0.4976785714285714,0.47,0.42013528879700224,0.5987159277504106
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc,51,False,0.47,0.3990463458110517,0.47,0.42859640602234095,0.5679373289545703
1,target_population,3,50,13,37,13,LOOCV,,SVM,desc,51,True,0.49,0.5409722222222222,0.49,0.4432066404543469,0.5522514504652436
1,target_population,3,50,13,37,13,LOOCV,,SVM,desc,51,False,0.32,0.23974124809741248,0.31999999999999995,0.2704598577235772,0.5832963327859878
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc,51,True,0.44,0.5697726098191215,0.44,0.3496738780947131,0.5394070607553366
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc,51,False,0.47,0.3071052631578947,0.47,0.33457471264367816,0.5367078817733991
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,desc,51,True,0.11,0.12634615384615383,0.11,0.11471498727277403,0.24558631636562672
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,desc,51,False,0.5,0.5033333333333333,0.5,0.36583855185909975,0.3040513409961686
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc,51,True,0.4,0.5059934318555008,0.4,0.29659026598754956,0.4908272577996716
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc,51,False,0.46,0.4146666666666667,0.46,0.42958810068649883,0.5352814449917899
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,desc,51,True,0.44,0.5739166666666667,0.44,0.37633305762338026,0.3854491516146689
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,desc,51,False,0.48,0.5335714285714286,0.48,0.40198347107438015,0.26005769020251784
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,username,100,True,0.5,0.25,0.5,0.33333333333333326,0.48357963875205257
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.48357963875205257
1,target_population,3,50,13,37,13,LOOCV,,LogReg,username,100,True,0.5,0.25,0.5,0.33333333333333326,0.0
1,target_population,3,50,13,37,13,LOOCV,,LogReg,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.0
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,username,100,True,0.5,0.25,0.5,0.33333333333333326,0.5
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.5
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,username,100,True,0.5,0.25,0.5,0.33333333333333326,0.5
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.5
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,username,100,True,0.5,0.25,0.5,0.33333333333333326,0.49857690202517785
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.49682539682539684
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,username,100,True,0.5,0.25,0.5,0.33333333333333326,0.23239299397920085
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.3202440065681445
1,target_population,3,50,13,37,13,K-Fold,5,SVM,username,100,True,0.46,0.39799999999999996,0.46,0.42649350649350654,0.48357963875205257
1,target_population,3,50,13,37,13,K-Fold,5,SVM,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.48357963875205257
1,target_population,3,50,13,37,13,LOOCV,,SVM,username,100,True,0.0,0.0,0.0,0.0,0.9447126436781609
1,target_population,3,50,13,37,13,LOOCV,,SVM,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.0
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,username,100,True,0.4,0.38875,0.4,0.33260073260073253,0.4899288451012589
