username,display_name,followers_count,following_count,statuses_count,followers_following_ratio,bio_length,account_age_years,verified_flag,network_degree,bio_mentions_iran,cluster
_____zhang____,Mr. Zhang Wei / credit manager SINOPAC BANK,5.0,208.0,2.0,0.023923444976076555,129,1.2046543463381245,0,1,0,3
___cfilm,🎞️,0.0,424.0,4.0,0.0,0,3.373032169746749,0,1,0,0
___mohsen_,آندره ی بالکونسکی,284.0,483.0,1363.0,0.5867768595041323,0,7.2881587953456535,0,1,0,0
___tw1tt3r___,tw1tt3r,18.0,558.0,494.0,0.03220035778175313,0,4.287474332648871,0,1,0,0
__aespect,aespect's evil twin ⋆˚꩜｡𝜗ৎ,3.0,40.0,26.0,0.07317073170731707,22,0.7008898015058179,0,1,0,0
__dokhtarak,Emily,13.0,184.0,75.0,0.07027027027027027,0,4.952772073921971,0,1,0,0
__injaneb96,ثنا ابراهیمی | Sana Ebrahimi,0.0,837.0,5593.0,0.0,129,7.3730321697467485,0,1,0,3
__mareux__,mareux,4384.0,131.0,508.0,33.21212121212121,16,6.535249828884326,0,1,0,7
__mehmetaslan__,mehmet__aslan,2.0,5.0,0.0,0.3333333333333333,0,0.6187542778918549,0,1,0,0
__rumi22_,rumi,13.0,491.0,134.0,0.026422764227642278,0,2.702258726899384,0,1,0,0
__shim__shim,Sh!m@,5769.0,523.0,0.0,11.009541984732824,0,8.867898699520875,0,1,0,5
_3pehr__,Joker,0.0,31.0,5587.0,0.0,68,5.618069815195072,0,1,0,3
_advanceuk,Advance UK,1.0,362.0,1638.0,0.0027548209366391185,152,1.1197809719370295,0,1,0,3
_aespect,ٍ,430.0,1802.0,5989.0,0.2384914032168608,109,1.6180698151950719,0,1,0,5
_agentfootball,Agent Football,3.0,75.0,3.0,0.039473684210526314,48,3.868583162217659,0,1,0,3
_aj_johnstone,Al Johnstone (AJ),674.0,2787.0,1440.0,0.2417503586800574,84,14.119096509240247,0,1,0,5
_alevgundogan_,Alev Gündoğan,0.0,4.0,0.0,0.0,0,0.6187542778918549,0,1,0,0
_ali_najjar_,علی نجار,770.0,890.0,4161.0,0.8641975308641975,31,7.619438740588638,0,1,0,5
_aliemili_,Ali Emili,9.0,132.0,87.0,0.06766917293233082,158,0.6187542778918549,0,1,0,3
_alignments,Alignments,15.0,13.0,2.0,1.0714285714285714,11,1.1197809719370295,0,1,0,0
_alonso11,Alonso Martínez,7990.0,102.0,77.0,77.57281553398059,24,9.952087611225188,0,1,0,7
_amiir_75,amiir,140.0,1333.0,1337.0,0.10494752623688156,12,2.0369609856262834,0,1,0,5
_angry_n___,i N !,149.0,160.0,4797.0,0.9254658385093167,34,10.787132101300479,0,1,0,5
_articlle_,お父さん,8556.0,803.0,780.0,10.64179104477612,19,7.953456536618754,0,1,0,5
_atefehshams_,عاطفه شمس,4.0,50.0,0.0,0.0784313725490196,12,0.9527720739219713,0,1,0,0
_atscale,ATscale,2202.0,1211.0,2496.0,1.816831683168317,136,8.038329911019849,0,1,0,5
_bonos_,🌟,40.0,7500.0,0.0,0.005332622317024397,0,3.701574264202601,0,1,0,0
_carneosso,♡ *ೃ°༄ 𝓢𝓪𝓫𝓻𝓲𝓷𝓪 𝓢𝓾𝓻𝓽𝓸 ¸.•°*°⋆.ೃ࿔*,1806.0,425.0,2277.0,4.23943661971831,115,17.286789869952088,0,1,0,5
_celestraa,Gem - Komaeda Brain rot ✌🏻️,98.0,667.0,1998.0,0.1467065868263473,13,13.618069815195073,0,1,0,5
_danielsantini,Daniel Santini,1768.0,1888.0,3079.0,0.9359449444150344,159,9.533196440793978,0,1,0,5
_dinken_,Ajmal Hussain A,379.0,529.0,961.0,0.7150943396226415,136,13.700205338809035,0,1,0,5
_ellrose,ell,5833.0,225.0,0.0,25.809734513274336,0,13.204654346338124,0,1,0,5
_fatemeramezani,فاطم‌ه,9.0,24.0,540.0,0.36,0,5.371663244353183,0,1,0,0
_freeeagle_,Free eagle,138.0,213.0,2333.0,0.6448598130841121,12,11.953456536618754,0,1,0,5
_ganeshp,Ganesh💰Padmanabhan ⚕️🦾,2080.0,1005.0,0.0,2.0675944333996026,141,15.288158795345653,0,1,0,5
_garrulus,Garrulus,112.0,475.0,654.0,0.23529411764705882,0,1.0376454483230664,0,1,0,0
_ghazaltaleb,Ghazal,13.0,47.0,3115.0,0.2708333333333333,0,6.450376454483231,0,1,0,0
_gpaolo,Giuseppe Paolo,321.0,506.0,1140.0,0.6331360946745562,108,14.036960985626283,0,1,0,5
_h_o_o_r_,sina,113.0,41.0,116.0,2.6904761904761907,41,7.953456536618754,0,1,1,4
_hannahritchie,Hannah Ritchie,0.0,1337.0,7978.0,0.0,157,12.038329911019849,0,1,0,3
_hasanbro,Hasan Bro,94.0,249.0,173.0,0.376,6,0.785763175906913,0,1,0,0
_hqaddomi,Hisham Qaddoumi,33.0,359.0,247.0,0.09166666666666666,0,3.9534565366187544,0,1,0,0
_husseinth3,حسين العنزي⚜️,2.0,6.0,0.0,0.2857142857142857,0,0.6187542778918549,0,1,0,0
_iamnaaz_,Elnaaz Norouzi,0.0,232.0,3225.0,0.0,28,13.44832306639288,0,60,0,2
_infogirl,🌻hopeful wanderer🌻,59.0,665.0,290.0,0.08858858858858859,33,4.700889801505818,0,1,0,5
_ipesarekhob,پِسَرِ خوبْ,899.0,1056.0,3112.0,0.8505203405865658,0,3.9534565366187544,0,1,0,0
_irani_mohammad,MhmmdShajarian,8.0,1774.0,58.0,0.004507042253521127,0,5.618069815195072,0,1,0,0
_iweni,🌚🤍,80.0,370.0,96.0,0.215633423180593,28,4.205338809034908,0,1,0,5
_iwftw,𐰯𐱃𐰢𐰚|فآطِمِ🎋,1216.0,819.0,4248.0,1.4829268292682927,67,3.373032169746749,0,1,0,5
_iwtiina,Tina,0.0,4.0,0.0,0.0,0,0.7008898015058179,0,1,0,0
_jkaplan,Josh Kaplan,4856.0,3387.0,0.0,1.4332939787485242,40,17.371663244353183,0,1,0,5
_joy_net,jøy,3285.0,734.0,5899.0,4.469387755102041,145,12.618754277891854,0,1,0,5
_kuramakyubi_,Kurama Kyūbi,1.0,24.0,0.0,0.04,0,0.6187542778918549,0,1,0,0
_mahdiyar313,علی اکبر رائفی پور,0.0,1054.0,6124.0,0.0,75,3.701574264202601,0,61,1,2
_mehrabooon,مهربوون,2336.0,2501.0,1681.0,0.9336530775379697,16,5.533196440793977,0,1,0,5
_miaswart,Mia Swart,1073.0,1084.0,3859.0,0.9889400921658986,107,8.28747433264887,0,1,0,5
_mohammad_1987_,Mohammad Mohammadi,0.0,5.0,1.0,0.0,33,2.3709787816563996,0,1,1,4
_mriyim_,مریمم🦋,131.0,114.0,1.0,1.1391304347826088,5,3.2881587953456535,0,1,0,0
_nafyn_,Nafyn 🐀,544.0,427.0,1942.0,1.2710280373831775,8,6.450376454483231,0,1,0,5
_nam11,Nathan,4887.0,2796.0,0.0,1.7472291741151234,134,16.205338809034906,0,1,0,5
_pia_,Pia Strietmann,74.0,115.0,127.0,0.6379310344827587,16,17.371663244353183,0,1,0,5
_raven_reborn_,🪽,5622.0,2129.0,0.0,2.63943661971831,0,5.618069815195072,0,1,0,0
_rezinski,رضینسکی,231.0,106.0,5925.0,2.1588785046728973,33,4.700889801505818,0,1,0,5
_rosemark,Wolfy,8.0,127.0,482.0,0.0625,18,6.620123203285421,0,1,0,3
_sarahdavies,Sarah Davies,6039.0,2489.0,0.0,2.4253012048192772,53,17.44832306639288,0,1,0,5
_scandalou_,SCANDALOU,43.0,299.0,541.0,0.14333333333333334,0,3.9534565366187544,0,1,0,0
_sethnall,Seth Nall,31.0,1166.0,378.0,0.026563838903170524,26,5.037645448323066,0,1,0,5
_sgtslaughter,SGT SLAUGHTER,0.0,107.0,6124.0,0.0,124,15.868583162217659,0,1,0,3
_shahaf_,Shahaf,257.0,1970.0,786.0,0.13039066463723997,159,1.6180698151950719,0,1,0,5
_sihelvi,İbn Kusay el Kerhani,16.0,73.0,119.0,0.21621621621621623,61,0.9527720739219713,0,1,0,0
_sky_tw,spinoss,1.0,19.0,0.0,0.05,0,3.5345653661875427,0,1,0,0
_soommiii_,soosoo~,27.0,85.0,79.0,0.313953488372093,0,4.700889801505818,0,1,0,0
_starboy369,Starboy ⭐️,806.0,5214.0,3509.0,0.15455417066155322,62,4.03832991101985,0,1,0,1
_thebemagugu_,Thebe Magugu,0.0,314.0,821.0,0.0,123,17.204654346338124,0,1,0,3
_thejimbo_,Jimbo! 🌈🕕🌞,757.0,237.0,0.0,3.180672268907563,66,13.78507871321013,0,1,0,5
_theleftover,LEFTOVER,462.0,563.0,8309.0,0.8191489361702128,37,8.120465434633813,0,1,0,5
